"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.369","116.011","83.667","8.9","202.8","FourOPT","2015/6/16 18:50:32","18","50","32","8866024","北京市","北京市县","延庆县","2015/6/16 18:50:10","1","2,0,1,4,60","IC","5.512"
"40.499","116.214","-6.822","-1.6","101.3","FourOPT","2015/6/16 18:50:33","18","50","33","1889535","北京市","北京市县","延庆县","2015/6/16 18:50:10","1","118,1,4,0","IC","2.734"
"40.832","116.769","6.343","0.9","0.0","ThreeMIX","2015/6/16 18:50:34","18","50","34","1245588","北京市","北京市县","怀柔区","2015/6/16 18:50:11","1","1,4,2","IC","0.000"
"40.249","115.936","6.670","6.6","0.0","ThreeMIX","2015/6/16 19:02:56","19","2","56","2373546","北京市","北京市县","昌平区","2015/6/16 19:02:30","1","118,1,4","IC","0.000"
"40.371","115.918","-26.787","-6.5","169.0","FourOPT","2015/6/16 17:27:00","17","27","0","3166204","北京市","北京市县","延庆县","2015/6/16 17:26:35","1","2,0,1,4,60","CG","0.000"
"40.382","115.888","-23.229","-6.9","101.4","FourOPT","2015/6/16 17:27:00","17","27","0","3823190","北京市","北京市县","延庆县","2015/6/16 17:26:35","1","118,2,1,4,117","CG","0.000"
"40.389","116.421","12.128","3.1","119.1","FourOPT","2015/6/16 17:27:07","17","27","7","6532055","北京市","北京市县","怀柔区","2015/6/16 17:26:44","1","1,4,2,0,60","IC","3.956"
"40.447","115.940","-10.684","-2.2","69.9","FourOPT","2015/6/16 17:27:18","17","27","18","2992964","北京市","北京市县","延庆县","2015/6/16 17:26:54","1","118,2,0,1,4","IC","1.367"
"40.232","117.035","-19.158","-12.3","0.0","ThreeMIX","2015/6/16 17:27:24","17","27","24","5060008","北京市","北京市县","平谷区","2015/6/16 17:26:59","1","118,1,0","IC","0.000"
"40.414","116.372","-6.608","-3.1","305.8","FourOPT","2015/6/16 17:35:08","17","35","8","3299286","北京市","北京市县","怀柔区","2015/6/16 17:34:46","1","118,1,0,4","IC","5.536"
